iter	Passed	Remaining
897	20411	2318
898	20434	2295
899	20456	2272
900	20477	2250
901	20496	2226
902	20516	2203
903	20537	2180
904	20557	2158
905	20578	2135
906	20598	2112
907	20616	2088
908	20635	2065
909	20653	2042
910	20671	2019
911	20692	1996
912	20714	1973
913	20737	1951
914	20766	1929
915	20804	1907
916	20832	1885
917	20860	1863
918	20883	1840
919	20909	1818
920	20940	1796
921	20973	1774
922	20999	1751
923	21018	1728
924	21038	1705
925	21058	1682
926	21078	1659
927	21100	1637
928	21121	1614
929	21145	1591
930	21167	1568
931	21188	1545
932	21212	1523
933	21235	1500
934	21258	1477
935	21282	1455
936	21306	1432
937	21328	1409
938	21350	1386
939	21372	1364
940	21394	1341
941	21415	1318
942	21434	1295
943	21457	1272
944	21480	1250
945	21501	1227
946	21524	1204
947	21546	1181
948	21570	1159
949	21591	1136
950	21612	1113
951	21632	1090
952	21652	1067
953	21675	1045
954	21696	1022
955	21717	999
956	21737	976
957	21758	953
958	21778	931
959	21801	908
960	21820	885
961	21840	862
962	21861	839
963	21881	817
964	21901	794
965	21920	771
966	21941	748
967	21965	726
968	21987	703
969	22006	680
970	22027	657
971	22046	635
972	22066	612
973	22087	589
974	22113	567
975	22137	544
976	22155	521
977	22175	498
978	22195	476
979	22216	453
980	22236	430
981	22256	407
982	22276	385
983	22295	362
984	22316	339
985	22344	317
986	22373	294
987	22399	272
988	22424	249
989	22448	226
990	22469	204
991	22491	181
992	22520	158
993	22540	136
994	22561	113
995	22581	90
996	22601	68
997	22621	45
998	22639	22
999	22657	0
